Date,o
2018-11-07,"{'h': 66.43188674806919, 'l': 27.502669192460342, 'v': 50.038112441688696}"
2018-11-08,"{'h': 66.16503647364905, 'l': 27.60601140725677, 'v': 49.715887674134486}"
2018-11-09,"{'h': 65.88632990771725, 'l': 27.714284446881454, 'v': 49.210147095874035}"
2018-11-10,"{'h': 65.52308273591888, 'l': 27.876728910635695, 'v': 49.11552413877388}"
2018-11-11,"{'h': 65.2297723343003, 'l': 27.99806209717428, 'v': 49.34141653821281}"
2018-11-12,"{'h': 65.02727489015433, 'l': 28.066437111666534, 'v': 49.2391780010926}"
2018-11-13,"{'h': 64.78327357707755, 'l': 28.168910128402015, 'v': 50.692489246959575}"
2018-11-14,"{'h': 64.5125284277824, 'l': 28.275957658351846, 'v': 48.75843778035861}"
2018-11-15,"{'h': 64.1900490085639, 'l': 28.379901675830048, 'v': 44.199289976731606}"
2018-11-16,"{'h': 63.876437777093315, 'l': 28.47786399094799, 'v': 43.942639197668996}"
2018-11-17,"{'h': 63.6088414489453, 'l': 28.53983256148527, 'v': 42.90311907298422}"
2018-11-18,"{'h': 63.27781653130312, 'l': 28.64093817207168, 'v': 42.70910203468106}"
2018-11-19,"{'h': 62.84107708163846, 'l': 28.788938899805373, 'v': 40.14436838466334}"
2018-11-20,"{'h': 62.31598238336191, 'l': 28.945019355617678, 'v': 35.05069555224195}"
2018-11-21,"{'h': 61.70333448269298, 'l': 29.152745179145047, 'v': 33.63049929549307}"
2018-11-22,"{'h': 61.09118562463475, 'l': 29.360938995905713, 'v': 33.28805237819675}"
2018-11-23,"{'h': 60.49645346072225, 'l': 29.540003952119203, 'v': 31.632297824607654}"
2018-11-24,"{'h': 59.84856390996199, 'l': 29.76198285210223, 'v': 31.40825867963778}"
2018-11-25,"{'h': 59.203100877059285, 'l': 29.943219339261912, 'v': 28.083189794523356}"
2018-11-26,"{'h': 58.49902973616512, 'l': 30.179179041080154, 'v': 28.277301580932797}"
2018-11-27,"{'h': 57.99866947402033, 'l': 30.244382885151296, 'v': 27.0273966548756}"
2018-11-28,"{'h': 57.57933563445451, 'l': 30.284340046586056, 'v': 29.22317398091575}"
2018-11-29,"{'h': 57.1700357293461, 'l': 30.333230788595003, 'v': 30.122410532684952}"
2018-11-30,"{'h': 56.75749730352547, 'l': 30.37089252751166, 'v': 28.908924690303234}"
2018-12-01,"{'h': 56.31435547850173, 'l': 30.432513130701814, 'v': 28.714785095416257}"
2018-12-02,"{'h': 56.018090184173495, 'l': 30.393955408048278, 'v': 29.02628226795784}"
2018-12-03,"{'h': 55.77959745953608, 'l': 30.295535206079553, 'v': 27.604172020426358}"
2018-12-04,"{'h': 55.682098707248514, 'l': 30.098096628338393, 'v': 27.135436281468916}"
2018-12-05,"{'h': 55.609962486480946, 'l': 29.870997278143072, 'v': 26.192367553270934}"
2018-12-06,"{'h': 55.516759255462034, 'l': 29.654024095522217, 'v': 25.867198265816704}"
2018-12-07,"{'h': 55.45712673732699, 'l': 29.371599694088843, 'v': 23.282315591651738}"
2018-12-08,"{'h': 55.426613949692666, 'l': 29.072847948754998, 'v': 23.198805161331354}"
2018-12-09,"{'h': 55.446619636541584, 'l': 28.7597246610583, 'v': 23.753017769404586}"
2018-12-10,"{'h': 55.49270516707031, 'l': 28.43685960201837, 'v': 23.7175165609971}"
