Date,MACD_Hist
2021-05-20,-1600.4785
2021-05-21,-1624.5137
2021-05-22,-1516.3082
2021-05-23,-1518.3884
2021-05-24,-1143.4150
2021-05-25,-843.5284
2021-05-26,-515.8753
2021-05-27,-290.7857
2021-05-28,-278.6167
2021-05-29,-284.5131
2021-05-30,-167.1116
2021-05-31,58.5831
2021-06-01,201.4965
2021-06-02,376.2353
2021-06-03,612.1188
2021-06-04,611.1755
2021-06-05,530.7765
2021-06-06,505.6198
2021-06-07,354.0107
2021-06-08,262.4853
2021-06-09,479.5268
2021-06-10,576.3095
2021-06-11,678.6696
2021-06-12,621.7617
2021-06-13,802.2958
2021-06-14,994.0829
2021-06-15,1061.3941
2021-06-16,953.9401
2021-06-17,838.6200
2021-06-18,593.7776
2021-06-19,402.8502
2021-06-20,283.6876
2021-06-21,-47.0360
2021-06-22,-180.7305
2021-06-23,-166.4152
2021-06-24,-71.4113
2021-06-25,-189.9840
2021-06-26,-194.6808
2021-06-27,-17.7062
2021-06-28,96.5608
2021-06-29,268.8443
2021-06-30,322.1154
2021-07-01,254.2787
2021-07-02,229.7971
2021-07-03,271.5860
2021-07-04,335.1777
2021-07-05,267.0611
2021-07-06,255.0461
2021-07-07,221.5884
2021-07-08,135.8288
2021-07-09,144.4189
2021-07-10,131.4001
2021-07-11,173.4451
2021-07-12,124.3325
2021-07-13,72.4186
2021-07-14,49.8388
2021-07-15,-19.0343
2021-07-16,-84.9414
2021-07-17,-104.9869
2021-07-18,-87.1930
2021-07-19,-122.8314
2021-07-20,-196.8568
2021-07-21,-73.4123
2021-07-22,26.4079
2021-07-23,182.8969
2021-07-24,320.1947
2021-07-25,469.3708
2021-07-26,663.9252
2021-07-27,898.4196
2021-07-28,1037.7607
2021-07-29,1071.7494
2021-07-30,1175.4311
2021-07-31,1127.4122
2021-08-01,928.6187
2021-08-02,702.2607
2021-08-03,453.3742
2021-08-04,359.1745
2021-08-05,341.9994
2021-08-06,426.5185
2021-08-07,554.1392
2021-08-08,540.3946
2021-08-09,644.1243
2021-08-10,614.9930
2021-08-11,540.6468
2021-08-12,374.3827
2021-08-13,446.3777
2021-08-14,399.1917
2021-08-15,319.5081
2021-08-16,160.5011
2021-08-17,-48.7303
2021-08-18,-200.8440
2021-08-19,-178.1553
2021-08-20,-14.3623
2021-08-21,33.8802
2021-08-22,65.6732
2021-08-23,74.6360
2021-08-24,-63.1002
2021-08-25,-86.6826
2021-08-26,-256.0972
2021-08-27,-229.4954
2021-08-28,-234.1052
2021-08-29,-254.5012
2021-08-30,-388.9139
2021-08-31,-465.4188
2021-09-01,-398.9815
2021-09-02,-326.7968
2021-09-03,-233.8581
2021-09-04,-185.6019
2021-09-05,-44.6260
2021-09-06,87.5566
2021-09-07,-220.9383
2021-09-08,-470.8508
2021-09-09,-595.6989
2021-09-10,-754.9397
2021-09-11,-806.5206
2021-09-12,-752.3353
2021-09-13,-756.5383
2021-09-14,-587.6479
2021-09-15,-391.8658
2021-09-16,-277.5273
2021-09-17,-223.0594
2021-09-18,-117.1666
2021-09-19,-114.7530
2021-09-20,-379.6933
2021-09-21,-673.3334
2021-09-22,-643.1723
2021-09-23,-505.1080
2021-09-24,-520.9684
2021-09-25,-509.0916
2021-09-26,-439.0747
2021-09-27,-431.2559
2021-09-28,-468.6938
2021-09-29,-428.1748
2021-09-30,-224.9375
2021-10-01,198.9113
2021-10-02,430.4924
2021-10-03,596.8439
2021-10-04,741.5747
2021-10-05,941.4696
2021-10-06,1265.1661
2021-10-07,1303.7279
2021-10-08,1266.8140
2021-10-09,1234.7425
2021-10-10,1122.3116
2021-10-11,1160.8794
2021-10-12,1015.8511
2021-10-13,942.5642
2021-10-14,827.2859
2021-10-15,967.0404
2021-10-16,930.2829
2021-10-17,875.2084
2021-10-18,798.6167
2021-10-19,824.9185
2021-10-20,877.3576
2021-10-21,588.5776
2021-10-22,246.7180
2021-10-23,23.1856
2021-10-24,-180.4440
2021-10-25,-190.6885
2021-10-26,-396.3419
2021-10-27,-659.5274
2021-10-28,-683.2363
2021-10-29,-584.9737
2021-10-30,-546.3314
2021-10-31,-556.3602
2021-11-01,-584.2075
2021-11-02,-448.2792
2021-11-03,-383.7964
2021-11-04,-441.7744
2021-11-05,-505.8634
2021-11-06,-506.0026
2021-11-07,-383.8827
2021-11-08,-34.3540
2021-11-09,131.2001
2021-11-10,77.5641
2021-11-11,14.0740
2021-11-12,-87.0042
2021-11-13,-148.0837
2021-11-14,-124.3088
2021-11-15,-243.0489
2021-11-16,-548.7107
2021-11-17,-709.5886
2021-11-18,-1008.2984
2021-11-19,-1133.4047
