time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-07-05T00:00:00.0000000Z,2019-07-06T00:00:00.0000000Z,2019-07-05T00:00:00.0180000Z,2019-07-05T23:59:59.7720000Z,11145.67,11406.83,10796.44,10970.73,63534.350582,564857
2019-07-04T00:00:00.0000000Z,2019-07-05T00:00:00.0000000Z,2019-07-04T00:00:00.0550000Z,2019-07-04T23:59:59.9770000Z,11940.0,12000.0,11055.0,11145.67,66484.216352,643583
2019-07-03T00:00:00.0000000Z,2019-07-04T00:00:00.0000000Z,2019-07-03T00:00:00.7790000Z,2019-07-03T23:59:59.7080000Z,10844.98,11991.89,10841.04,11940.0,96760.486672,814328
2019-07-02T00:00:00.0000000Z,2019-07-03T00:00:00.0000000Z,2019-07-02T00:00:00.1910000Z,2019-07-02T23:59:59.7180000Z,10624.9,10938.75,9727.0,10842.85,109545.850604,869995
2019-07-01T00:00:00.0000000Z,2019-07-02T00:00:00.0000000Z,2019-07-01T00:00:00.0540000Z,2019-07-01T23:59:59.7520000Z,10854.1,11282.28,10030.0,10624.93,90824.843162,756235
2019-06-30T00:00:00.0000000Z,2019-07-01T00:00:00.0000000Z,2019-06-30T00:00:00.7600000Z,2019-06-30T23:59:59.9350000Z,11903.13,12180.0,10766.03,10854.1,84305.658587,709013
2019-06-29T00:00:00.0000000Z,2019-06-30T00:00:00.0000000Z,2019-06-29T00:00:00.4190000Z,2019-06-29T23:59:59.9180000Z,12407.06,12441.54,11475.02,11903.13,69666.366271,731787
2019-06-28T00:00:00.0000000Z,2019-06-29T00:00:00.0000000Z,2019-06-28T00:00:00.1350000Z,2019-06-28T23:59:59.7930000Z,11329.99,12480.0,10982.88,12400.63,95795.203964,883116
2019-06-27T00:00:00.0000000Z,2019-06-28T00:00:00.0000000Z,2019-06-27T00:00:00.3320000Z,2019-06-27T23:59:59.9270000Z,13098.38,13478.04,10525.1,11329.99,173894.582265,1357224
2019-06-26T00:00:00.0000000Z,2019-06-27T00:00:00.0000000Z,2019-06-26T00:00:00.3640000Z,2019-06-26T23:59:59.7130000Z,11821.28,13970.0,11741.0,13093.8,155682.752363,1353013
2019-06-25T00:00:00.0000000Z,2019-06-26T00:00:00.0000000Z,2019-06-25T00:00:00.4780000Z,2019-06-25T23:59:59.9510000Z,11057.17,11850.0,11026.0,11820.86,61231.397647,597219
2019-06-24T00:00:00.0000000Z,2019-06-25T00:00:00.0000000Z,2019-06-24T00:00:00.5100000Z,2019-06-24T23:59:59.9380000Z,10905.95,11143.63,10620.8,11056.59,43041.209809,439650
2019-06-23T00:00:00.0000000Z,2019-06-24T00:00:00.0000000Z,2019-06-23T00:00:00.3920000Z,2019-06-23T23:59:59.7870000Z,10729.0,11392.64,10555.18,10906.07,57429.487489,557724
