Date,o
2017-01-19,"{'deposit': 4.72780670304529, 'inhouse': 3.98561955733757, 'inter': 0.428050939918282, 'total': 16.4592574930453, 'withdrawal': 7.31778029274415}"
2017-01-20,"{'deposit': 4.60038880345099, 'inhouse': 3.95315894289683, 'inter': 0.443257999146617, 'total': 15.581580223451, 'withdrawal': 6.58477447795655}"
2017-01-21,"{'deposit': 3.9547002570031697, 'inhouse': 3.172094153572, 'inter': 0.34987069218062805, 'total': 13.1089741670032, 'withdrawal': 5.63230906424737}"
2017-01-22,"{'deposit': 3.67909771101572, 'inhouse': 2.94536616199786, 'inter': 0.38209155880288903, 'total': 14.0551948210157, 'withdrawal': 7.04863938919925}"
2017-01-23,"{'deposit': 4.16451688698863, 'inhouse': 4.6324492054953, 'inter': 0.7680147450893661, 'total': 27.3531115169886, 'withdrawal': 17.7881306794153}"
2017-01-24,"{'deposit': 5.08071750775341, 'inhouse': 4.98377733853314, 'inter': 1.08887669399884, 'total': 39.8031113677534, 'withdrawal': 28.649739827468}"
2017-01-25,"{'deposit': 5.97654324834701, 'inhouse': 5.53911799170429, 'inter': 0.6411204937178331, 'total': 24.599762148347, 'withdrawal': 12.4429804145779}"
2017-01-26,"{'deposit': 5.62735596387245, 'inhouse': 4.77177207357924, 'inter': 0.6129664584987411, 'total': 20.3240961038725, 'withdrawal': 9.31200160792202}"
2017-01-27,"{'deposit': 4.92233171514443, 'inhouse': 4.8377372399005, 'inter': 0.732768210476017, 'total': 24.9740929651444, 'withdrawal': 14.4812557996235}"
2017-01-28,"{'deposit': 4.78372558745916, 'inhouse': 4.55163352466112, 'inter': 0.9951185828454591, 'total': 35.9151985074592, 'withdrawal': 25.5847208124934}"
2017-01-29,"{'deposit': 4.33449063335913, 'inhouse': 5.6176241142159995, 'inter': 1.01555354647758, 'total': 33.7510011833591, 'withdrawal': 22.7833328893064}"
2017-01-30,"{'deposit': 5.09842823020515, 'inhouse': 7.40322840959448, 'inter': 0.860145901121649, 'total': 33.2158108502052, 'withdrawal': 19.8540083092839}"
2017-01-31,"{'deposit': 7.10031307315468, 'inhouse': 4.45072376880969, 'inter': 0.6830748633985091, 'total': 22.4603511531547, 'withdrawal': 10.2262394477918}"
